location,offense,model_name,model_type,params,mape,mae,rmse,training_months,optimization_method
national,violent-crime,"ARIMA(1, 0, 0)",ARIMA,"{'order': (1, 0, 0)}",6.88,7333.39,7995.18,52,auto_arima (stepwise AIC)
national,violent-crime,"SARIMA(1, 0, 0)(0, 0, 0, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 0, 12)}",6.88,7333.39,7995.18,52,auto_arima (stepwise AIC)
national,violent-crime,"Prophet(yearly, cp=0.5, sp=0.1)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.1, 'yearly_seasonality': True}",2.1,2211.8,2443.49,52,grid search (32 combinations)
national,property-crime,"ARIMA(1, 0, 0)",ARIMA,"{'order': (1, 0, 0)}",1.96,9818.62,11890.02,52,auto_arima (stepwise AIC)
national,property-crime,"SARIMA(1, 0, 0)(0, 0, 0, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 0, 12)}",1.96,9818.62,11890.02,52,auto_arima (stepwise AIC)
national,property-crime,"Prophet(no-season, cp=0.5, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': False}",1.77,8695.39,9930.01,52,grid search (32 combinations)
national,homicide,"ARIMA(0, 0, 0)",ARIMA,"{'order': (0, 0, 0)}",14.9,211.04,225.6,52,auto_arima (stepwise AIC)
national,homicide,"SARIMA(1, 0, 0)(1, 0, 0, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 0, 12)}",14.17,202.51,211.22,52,auto_arima (stepwise AIC)
national,homicide,"Prophet(yearly, cp=0.5, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': True}",1.92,27.83,31.34,52,grid search (32 combinations)
national,burglary,"ARIMA(1, 0, 0)",ARIMA,"{'order': (1, 0, 0)}",5.66,3649.62,4070.53,52,auto_arima (stepwise AIC)
national,burglary,"SARIMA(1, 0, 0)(0, 0, 0, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 0, 12)}",5.66,3649.62,4070.53,52,auto_arima (stepwise AIC)
national,burglary,"Prophet(yearly, cp=0.5, sp=0.1)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.1, 'yearly_seasonality': True}",1.26,831.77,1086.94,52,grid search (32 combinations)
national,motor-vehicle-theft,"ARIMA(0, 1, 1)",ARIMA,"{'order': (0, 1, 1)}",3.99,2846.52,3106.18,52,auto_arima (stepwise AIC)
national,motor-vehicle-theft,"SARIMA(0, 1, 1)(1, 0, 0, 12)",SARIMA,"{'order': (0, 1, 1), 'seasonal_order': (1, 0, 0, 12)}",7.96,5843.65,7087.83,52,auto_arima (stepwise AIC)
national,motor-vehicle-theft,"Prophet(no-season, cp=0.5, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': False}",4.57,3204.48,3559.93,52,grid search (32 combinations)
CA,violent-crime,"ARIMA(1, 0, 0)",ARIMA,"{'order': (1, 0, 0)}",11.21,1844.77,1886.4,52,auto_arima (stepwise AIC)
CA,violent-crime,"SARIMA(1, 0, 0)(0, 0, 1, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 1, 12)}",17.86,2933.15,3031.52,52,auto_arima (stepwise AIC)
CA,violent-crime,"Prophet(no-season, cp=0.5, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': False}",1.87,304.84,384.94,52,grid search (32 combinations)
CA,property-crime,"ARIMA(1, 0, 0)",ARIMA,"{'order': (1, 0, 0)}",5.59,3438.98,3890.87,52,auto_arima (stepwise AIC)
CA,property-crime,"SARIMA(1, 0, 0)(0, 0, 1, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 1, 12)}",5.35,3357.18,4116.58,52,auto_arima (stepwise AIC)
CA,property-crime,"Prophet(no-season, cp=0.5, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': False}",19.31,11995.56,12129.5,52,grid search (32 combinations)
CA,homicide,"ARIMA(1, 0, 0)",ARIMA,"{'order': (1, 0, 0)}",9.93,16.24,23.4,52,auto_arima (stepwise AIC)
CA,homicide,"SARIMA(1, 0, 0)(0, 0, 1, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 1, 12)}",22.33,34.58,39.71,52,auto_arima (stepwise AIC)
CA,homicide,"Prophet(yearly, cp=0.5, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': True}",11.5,17.28,19.94,52,grid search (32 combinations)
CA,burglary,"ARIMA(1, 0, 0)",ARIMA,"{'order': (1, 0, 0)}",3.85,393.91,515.68,52,auto_arima (stepwise AIC)
CA,burglary,"SARIMA(1, 0, 0)(1, 0, 0, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 0, 12)}",9.25,935.13,1071.34,52,auto_arima (stepwise AIC)
CA,burglary,"Prophet(yearly, cp=0.5, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': True}",5.51,538.09,607.87,52,grid search (32 combinations)
CA,motor-vehicle-theft,"ARIMA(1, 0, 0)",ARIMA,"{'order': (1, 0, 0)}",10.82,1267.98,1333.86,52,auto_arima (stepwise AIC)
