location,offense,model_name,model_type,mape,mae,rmse,training_months
national,violent-crime,"ARIMA(1,1,1)",ARIMA,8.03,8549.62,9135.38,52
national,violent-crime,"ARIMA(2,1,2)",ARIMA,7.47,7942.81,8499.69,52
national,violent-crime,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,1.86,1928.88,2569.07,52
national,violent-crime,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,1.97,2043.7,2602.26,52
national,violent-crime,Prophet,Prophet,3.83,4063.73,4674.73,52
national,violent-crime,Prophet-no-season,Prophet,3.33,3533.36,3938.79,52
national,property-crime,"ARIMA(1,1,1)",ARIMA,2.11,10599.92,13725.65,52
national,property-crime,"ARIMA(2,1,2)",ARIMA,2.6,12909.35,15013.08,52
national,property-crime,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,5.46,27008.7,27637.55,52
national,property-crime,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,4.79,23701.32,24599.07,52
national,property-crime,Prophet,Prophet,8.17,40336.71,40825.12,52
national,property-crime,Prophet-no-season,Prophet,7.04,34604.69,35832.04,52
national,homicide,"ARIMA(1,1,1)",ARIMA,13.61,191.89,212.4,52
national,homicide,"ARIMA(2,1,2)",ARIMA,13.5,189.96,214.58,52
national,homicide,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,5.59,82.39,98.07,52
national,homicide,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,2.29,33.86,39.43,52
national,homicide,Prophet,Prophet,17.51,254.96,260.87,52
national,homicide,Prophet-no-season,Prophet,13.03,184.0,200.04,52
national,burglary,"ARIMA(1,1,1)",ARIMA,4.87,3209.81,3609.13,52
national,burglary,"ARIMA(2,1,2)",ARIMA,4.63,3042.88,3414.0,52
national,burglary,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,1.64,1081.13,1342.98,52
national,burglary,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,1.5,970.59,1216.17,52
national,burglary,Prophet,Prophet,2.36,1537.47,1919.78,52
national,burglary,Prophet-no-season,Prophet,1.89,1252.41,1689.83,52
national,motor-vehicle-theft,"ARIMA(1,1,1)",ARIMA,3.99,2841.3,3104.2,52
national,motor-vehicle-theft,"ARIMA(2,1,2)",ARIMA,3.97,2818.86,3001.12,52
national,motor-vehicle-theft,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,12.92,9155.25,9806.47,52
national,motor-vehicle-theft,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,20.14,14346.66,14747.05,52
national,motor-vehicle-theft,Prophet,Prophet,30.86,21940.12,22080.64,52
national,motor-vehicle-theft,Prophet-no-season,Prophet,26.86,18996.65,19426.06,52
CA,violent-crime,"ARIMA(1,1,1)",ARIMA,5.84,965.33,1021.64,52
CA,violent-crime,"ARIMA(2,1,2)",ARIMA,5.76,951.82,1008.88,52
CA,violent-crime,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,2.88,464.44,704.38,52
CA,violent-crime,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,5.91,952.63,1533.54,52
CA,violent-crime,Prophet,Prophet,8.99,1464.16,1577.22,52
CA,violent-crime,Prophet-no-season,Prophet,4.44,720.11,873.54,52
